,phase,epoch,loss,accuracy
0,train,0,1.0090040638456634,"tensor(0.5187, device='cuda:0')"
1,val,0,0.8115244035063118,"tensor(0.6494, device='cuda:0')"
2,train,1,0.8217578976583404,"tensor(0.6336, device='cuda:0')"
3,val,1,0.7272990695361433,"tensor(0.6609, device='cuda:0')"
4,train,2,0.7323818224131785,"tensor(0.6823, device='cuda:0')"
5,val,2,0.6340444492197584,"tensor(0.7385, device='cuda:0')"
6,train,3,0.6622863631801121,"tensor(0.7188, device='cuda:0')"
7,val,3,0.764616676445665,"tensor(0.6293, device='cuda:0')"
8,train,4,0.6056608446412308,"tensor(0.7480, device='cuda:0')"
9,val,4,0.5668846553769605,"tensor(0.7586, device='cuda:0')"
10,train,5,0.5601502287859802,"tensor(0.7721, device='cuda:0')"
11,val,5,0.61489494710133,"tensor(0.7241, device='cuda:0')"
12,train,6,0.49798014953935343,"tensor(0.7968, device='cuda:0')"
13,val,6,0.5832441945870718,"tensor(0.7816, device='cuda:0')"
14,train,7,0.4427536264428548,"tensor(0.8281, device='cuda:0')"
15,val,7,0.5948857682189722,"tensor(0.7672, device='cuda:0')"
16,train,8,0.4164982330892898,"tensor(0.8353, device='cuda:0')"
17,val,8,0.5974810376934622,"tensor(0.7845, device='cuda:0')"
18,train,9,0.39877546975135325,"tensor(0.8423, device='cuda:0')"
19,val,9,0.5978800647560207,"tensor(0.7787, device='cuda:0')"
20,train,10,0.39290764726129856,"tensor(0.8469, device='cuda:0')"
21,val,10,0.5778008360287239,"tensor(0.8017, device='cuda:0')"
22,train,11,0.3689656761592733,"tensor(0.8554, device='cuda:0')"
23,val,11,0.6029397465031723,"tensor(0.7701, device='cuda:0')"
24,train,12,0.3631770629642816,"tensor(0.8572, device='cuda:0')"
25,val,12,0.6153288072553175,"tensor(0.7701, device='cuda:0')"
26,train,13,0.34968616786901763,"tensor(0.8641, device='cuda:0')"
27,val,13,0.6144953291306551,"tensor(0.7787, device='cuda:0')"
28,train,14,0.35165363571029545,"tensor(0.8635, device='cuda:0')"
29,val,14,0.6155106332795374,"tensor(0.7816, device='cuda:0')"
